Country,Period,Sex,Value
Afghanistan,2020,Female,1.1
Afghanistan,2020,Both sexes,2.06
Afghanistan,2020,Male,3.01
Albania,2020,Female,35.36
Albania,2020,Both sexes,48.85
Albania,2020,Male,62.46
Algeria,2020,Male,11.45
Algeria,2020,Female,4.22
Algeria,2020,Both sexes,7.9
Andorra,2020,Female,77.92
Andorra,2020,Both sexes,82.51
Andorra,2020,Male,86.92
Angola,2020,Female,40.93
Angola,2020,Both sexes,50.35
Angola,2020,Male,60.27
Antigua and Barbuda,2020,Female,43.67
Antigua and Barbuda,2020,Both sexes,53.13
Antigua and Barbuda,2020,Male,63.79
Argentina,2020,Female,64.11
Argentina,2020,Both sexes,71.02
Argentina,2020,Male,78.23
Armenia,2020,Female,39.76
Armenia,2020,Both sexes,48.7
Armenia,2020,Male,60.45
Australia,2020,Female,75
Australia,2020,Both sexes,80.67
Australia,2020,Male,86.52
Austria,2020,Female,72.86
Austria,2020,Both sexes,79.4
Austria,2020,Male,86.26
Azerbaijan,2020,Both sexes,15.5
Azerbaijan,2020,Male,22.18
Azerbaijan,2020,Female,9.31
Bahamas,2020,Female,40.08
Bahamas,2020,Both sexes,49.49
Bahamas,2020,Male,60
Bahrain,2020,Female,10.18
Bahrain,2020,Both sexes,19.99
Bahrain,2020,Male,25.23
Bangladesh,2020,Female,2.97
Bangladesh,2020,Both sexes,5.45
Bangladesh,2020,Male,8.02
Barbados,2020,Female,44.02
Barbados,2020,Both sexes,53.66
Barbados,2020,Male,64.39
Belarus,2020,Female,61.81
Belarus,2020,Both sexes,69.3
Belarus,2020,Male,78.41
Belgium,2020,Female,69.59
Belgium,2020,Both sexes,76.81
Belgium,2020,Male,84.32
Belize,2020,Female,36.89
Belize,2020,Both sexes,46.76
Belize,2020,Male,56.61
Benin,2020,Female,35.76
Benin,2020,Both sexes,45.89
Benin,2020,Male,56.18
Bhutan,2020,Female,19.61
Bhutan,2020,Both sexes,30.32
Bhutan,2020,Male,39.65
Bolivia (Plurinational State of),2020,Female,54.67
Bolivia (Plurinational State of),2020,Both sexes,62.22
Bolivia (Plurinational State of),2020,Male,69.81
Bosnia and Herzegovina,2020,Female,30.86
Bosnia and Herzegovina,2020,Both sexes,42.61
Bosnia and Herzegovina,2020,Male,54.89
Botswana,2020,Female,21.76
Botswana,2020,Both sexes,31.18
Botswana,2020,Male,41.11
Brazil,2020,Female,49.48
Brazil,2020,Both sexes,58.04
Brazil,2020,Male,67.06
Brunei Darussalam,2020,Female,25.15
Brunei Darussalam,2020,Both sexes,35.79
Brunei Darussalam,2020,Male,45.72
Bulgaria,2020,Female,56.16
Bulgaria,2020,Both sexes,65.76
Bulgaria,2020,Male,76.16
Burkina Faso,2020,Female,22.43
Burkina Faso,2020,Both sexes,31.71
Burkina Faso,2020,Male,41.37
Burundi,2020,Female,26.29
Burundi,2020,Both sexes,35.73
Burundi,2020,Male,45.52
Cabo Verde,2020,Female,45.95
Cabo Verde,2020,Both sexes,56.52
Cabo Verde,2020,Male,67.37
Cambodia,2020,Female,38.76
Cambodia,2020,Both sexes,49.24
Cambodia,2020,Male,60.27
Cameroon,2020,Female,40.29
Cameroon,2020,Both sexes,50.21
Cameroon,2020,Male,60.32
Canada,2020,Female,61.05
Canada,2020,Both sexes,69.17
Canada,2020,Male,77.49
Central African Republic,2020,Female,28.2
Central African Republic,2020,Both sexes,37.32
Central African Republic,2020,Male,46.6
Chad,2020,Female,13.9
Chad,2020,Both sexes,21.36
Chad,2020,Male,28.91
Chile,2020,Female,64.12
Chile,2020,Both sexes,71.07
Chile,2020,Male,78.2
China,2020,Female,47.7
China,2020,Both sexes,60.26
China,2020,Male,72.57
Colombia,2020,Female,31.38
Colombia,2020,Both sexes,40.88
Colombia,2020,Male,50.8
Comoros,2020,Female,0.49
Comoros,2020,Both sexes,0.95
Comoros,2020,Male,1.41
Congo,2020,Female,44.29
Congo,2020,Both sexes,53.92
Congo,2020,Male,63.7
Cook Islands,2020,Female,32.14
Cook Islands,2020,Both sexes,41.48
Cook Islands,2020,Male,52.13
Costa Rica,2020,Female,30.61
Costa Rica,2020,Both sexes,40.27
Costa Rica,2020,Male,50.01
Cote d'Ivoire,2020,Female,19.91
Cote d'Ivoire,2020,Both sexes,29.01
Cote d'Ivoire,2020,Male,37.87
Croatia,2020,Female,58.48
Croatia,2020,Both sexes,67.54
Croatia,2020,Male,77.27
Cuba,2020,Female,39.14
Cuba,2020,Both sexes,49.72
Cuba,2020,Male,60.58
Cyprus,2020,Female,55.23
Cyprus,2020,Both sexes,65.51
Cyprus,2020,Male,75.85
Czechia,2020,Female,66.56
Czechia,2020,Both sexes,74.07
Czechia,2020,Male,81.91
Democratic People's Republic of Korea,2020,Female,46.95
Democratic People's Republic of Korea,2020,Both sexes,59.07
Democratic People's Republic of Korea,2020,Male,71.71
Democratic Republic of the Congo,2020,Female,33.5
Democratic Republic of the Congo,2020,Both sexes,43.25
Democratic Republic of the Congo,2020,Male,53.31
Denmark,2020,Female,71.61
Denmark,2020,Both sexes,78.29
Denmark,2020,Male,85.12
Djibouti,2020,Female,3.32
Djibouti,2020,Both sexes,6.03
Djibouti,2020,Male,8.82
Dominica,2020,Female,39.45
Dominica,2020,Both sexes,49.75
Dominica,2020,Male,60.18
Dominican Republic,2020,Female,43.89
Dominican Republic,2020,Both sexes,53.48
Dominican Republic,2020,Male,63.08
Ecuador,2020,Female,52.39
Ecuador,2020,Both sexes,60.23
Ecuador,2020,Male,68.2
Egypt,2020,Male,11.07
Egypt,2020,Female,4.15
Egypt,2020,Both sexes,7.63
El Salvador,2020,Female,28.28
El Salvador,2020,Both sexes,36.85
El Salvador,2020,Male,46.81
Equatorial Guinea,2020,Female,46.98
Equatorial Guinea,2020,Both sexes,58.05
Equatorial Guinea,2020,Male,67.31
Eritrea,2020,Both sexes,15.15
Eritrea,2020,Male,21.17
Eritrea,2020,Female,9.48
Estonia,2020,Female,67.42
Estonia,2020,Both sexes,74.25
Estonia,2020,Male,82.09
Eswatini,2020,Female,19.51
Eswatini,2020,Both sexes,28.67
Eswatini,2020,Male,38.09
Ethiopia,2020,Female,12.17
Ethiopia,2020,Both sexes,19.05
Ethiopia,2020,Male,25.99
Fiji,2020,Female,20.85
Fiji,2020,Both sexes,30.11
Fiji,2020,Male,39.4
Finland,2020,Female,71.03
Finland,2020,Both sexes,78.05
Finland,2020,Male,85.33
France,2020,Female,68.76
France,2020,Both sexes,75.97
France,2020,Male,83.85
Gabon,2020,Female,43.97
Gabon,2020,Both sexes,54.38
Gabon,2020,Male,64.22
Gambia,2020,Female,12.98
Gambia,2020,Both sexes,20.67
Gambia,2020,Male,28.65
Georgia,2020,Female,46.77
Georgia,2020,Both sexes,55.94
Georgia,2020,Male,66.8
Germany,2020,Female,72.02
Germany,2020,Both sexes,78.83
Germany,2020,Male,85.92
Ghana,2020,Female,31.75
Ghana,2020,Both sexes,42.15
Ghana,2020,Male,52.78
Greece,2020,Female,60.06
Greece,2020,Both sexes,69.35
Greece,2020,Male,79.17
Grenada,2020,Female,44.4
Grenada,2020,Both sexes,54.39
Grenada,2020,Male,64.47
Guatemala,2020,Female,25.72
Guatemala,2020,Both sexes,34.44
Guatemala,2020,Male,43.53
Guinea,2020,Both sexes,11.19
Guinea,2020,Male,16.01
Guinea,2020,Female,6.69
Guinea-Bissau,2020,Female,17.71
Guinea-Bissau,2020,Both sexes,26.15
Guinea-Bissau,2020,Male,35.13
Guyana,2020,Female,38.38
Guyana,2020,Both sexes,47.73
Guyana,2020,Male,57.79
Haiti,2020,Female,34.83
Haiti,2020,Both sexes,44.64
Haiti,2020,Male,54.79
Honduras,2020,Female,28.53
Honduras,2020,Both sexes,37.8
Honduras,2020,Male,46.99
Hungary,2020,Female,63.25
Hungary,2020,Both sexes,71.32
Hungary,2020,Male,80.31
Iceland,2020,Female,72.4
Iceland,2020,Both sexes,79.2
