Country,Period,Sex,Value
Afghanistan,2022,Male,20.02
Afghanistan,2022,Both sexes,33.36
Afghanistan,2022,Female,46.03
Albania,2022,Male,21.44
Albania,2022,Both sexes,24.28
Albania,2022,Female,27.12
Algeria,2022,Male,20.05
Algeria,2022,Both sexes,29.04
Algeria,2022,Female,38.2
Andorra,2022,Male,26.18
Andorra,2022,Both sexes,27.21
Andorra,2022,Female,28.31
Angola,2022,Male,13.93
Angola,2022,Both sexes,17.33
Angola,2022,Female,20.42
Antigua and Barbuda,2022,Male,30.85
Antigua and Barbuda,2022,Both sexes,38.12
Antigua and Barbuda,2022,Female,44.77
Argentina,2022,Male,36.93
Argentina,2022,Both sexes,38.51
Argentina,2022,Female,40.09
Armenia,2022,Female,25.31
Armenia,2022,Both sexes,26.58
Armenia,2022,Male,28.25
Australia,2022,Male,23.74
Australia,2022,Both sexes,25.47
Australia,2022,Female,27.17
Austria,2022,Male,19.62
Austria,2022,Both sexes,19.76
Austria,2022,Female,19.88
Azerbaijan,2022,Female,22.81
Azerbaijan,2022,Both sexes,23.92
Azerbaijan,2022,Male,25.08
Bahamas,2022,Male,26.57
Bahamas,2022,Both sexes,37.17
Bahamas,2022,Female,46.62
Bahrain,2022,Male,35.73
Bahrain,2022,Both sexes,38.61
Bahrain,2022,Female,42.85
Bangladesh,2022,Male,19.65
Bangladesh,2022,Both sexes,20.3
Bangladesh,2022,Female,20.94
Barbados,2022,Male,36.26
Barbados,2022,Both sexes,44.03
Barbados,2022,Female,51.31
Belarus,2022,Female,13.53
Belarus,2022,Both sexes,14.02
Belarus,2022,Male,14.61
Belgium,2022,Male,22.36
Belgium,2022,Both sexes,25.41
Belgium,2022,Female,28.41
Belize,2022,Male,35.17
Belize,2022,Both sexes,41.52
Belize,2022,Female,47.86
Benin,2022,Male,15.64
Benin,2022,Both sexes,18.02
Benin,2022,Female,20.29
Bhutan,2022,Female,11.02
Bhutan,2022,Male,8.88
Bhutan,2022,Both sexes,9.91
Bolivia (Plurinational State of),2022,Male,18.35
Bolivia (Plurinational State of),2022,Both sexes,22.57
Bolivia (Plurinational State of),2022,Female,26.64
Bosnia and Herzegovina,2022,Male,18.43
Bosnia and Herzegovina,2022,Both sexes,21.07
Bosnia and Herzegovina,2022,Female,23.69
Botswana,2022,Male,17.27
Botswana,2022,Both sexes,22.28
Botswana,2022,Female,26.79
Brazil,2022,Male,35.56
Brazil,2022,Both sexes,40.4
Brazil,2022,Female,45.06
Brunei Darussalam,2022,Male,27.79
Brunei Darussalam,2022,Both sexes,32.53
Brunei Darussalam,2022,Female,37.43
Bulgaria,2022,Female,32.13
Bulgaria,2022,Both sexes,32.28
Bulgaria,2022,Male,32.45
Burkina Faso,2022,Male,14.31
Burkina Faso,2022,Both sexes,16.94
Burkina Faso,2022,Female,19.3
Burundi,2022,Male,14
Burundi,2022,Both sexes,14.27
Burundi,2022,Female,14.55
Cabo Verde,2022,Male,22.36
Cabo Verde,2022,Both sexes,31.23
Cabo Verde,2022,Female,39.49
Cambodia,2022,Male,12.64
Cambodia,2022,Both sexes,13.27
Cambodia,2022,Female,13.68
Cameroon,2022,Male,16.14
Cameroon,2022,Both sexes,18.81
Cameroon,2022,Female,21.37
Canada,2022,Male,35.76
Canada,2022,Both sexes,37.18
Canada,2022,Female,38.61
Central African Republic,2022,Male,13.81
Central African Republic,2022,Both sexes,16.53
Central African Republic,2022,Female,19.12
Chad,2022,Male,16.5
Chad,2022,Both sexes,17.85
Chad,2022,Female,19.15
Chile,2022,Male,30.39
Chile,2022,Both sexes,38.21
Chile,2022,Female,45.94
China,2022,Female,19.5
China,2022,Both sexes,23.83
China,2022,Male,27.95
Colombia,2022,Male,28.06
Colombia,2022,Both sexes,34.43
Colombia,2022,Female,40.53
Comoros,2022,Male,10.54
Comoros,2022,Both sexes,17.2
Comoros,2022,Female,23.74
Congo,2022,Male,12.31
Congo,2022,Both sexes,15.97
Congo,2022,Female,19.45
Cook Islands,2022,Male,16.32
Cook Islands,2022,Both sexes,25.42
Cook Islands,2022,Female,33.13
Costa Rica,2022,Male,41.59
Costa Rica,2022,Both sexes,49.66
Costa Rica,2022,Female,57.75
Cote d'Ivoire,2022,Male,15.77
Cote d'Ivoire,2022,Both sexes,19.68
Cote d'Ivoire,2022,Female,23.67
Croatia,2022,Male,28.27
Croatia,2022,Both sexes,28.45
Croatia,2022,Female,28.64
Cuba,2022,Male,50.25
Cuba,2022,Both sexes,61.08
Cuba,2022,Female,72.03
Cyprus,2022,Male,34.76
Cyprus,2022,Both sexes,40.83
Cyprus,2022,Female,46.98
Czechia,2022,Male,22.6
Czechia,2022,Both sexes,23.37
Czechia,2022,Female,24.12
Democratic People's Republic of Korea,2022,Male,24.35
Democratic People's Republic of Korea,2022,Both sexes,26.99
Democratic People's Republic of Korea,2022,Female,29.41
Democratic Republic of the Congo,2022,Male,12.1
Democratic Republic of the Congo,2022,Both sexes,14.87
Democratic Republic of the Congo,2022,Female,17.46
Denmark,2022,Female,11.21
Denmark,2022,Both sexes,12.14
Denmark,2022,Male,13.06
Djibouti,2022,Male,13.58
Djibouti,2022,Both sexes,16.98
Djibouti,2022,Female,20.19
Dominica,2022,Male,21.38
Dominica,2022,Both sexes,30.52
Dominica,2022,Female,39.38
Dominican Republic,2022,Male,31.1
Dominican Republic,2022,Both sexes,37.02
Dominican Republic,2022,Female,42.92
Ecuador,2022,Male,17.58
Ecuador,2022,Both sexes,22.78
Ecuador,2022,Female,27.83
Egypt,2022,Male,29.98
Egypt,2022,Both sexes,33.8
Egypt,2022,Female,37.41
El Salvador,2022,Male,31.76
El Salvador,2022,Both sexes,39.23
El Salvador,2022,Female,45.73
Equatorial Guinea,2022,Male,15.26
Equatorial Guinea,2022,Both sexes,19.51
Equatorial Guinea,2022,Female,24.29
Eritrea,2022,Both sexes,11.82
Eritrea,2022,Female,16.1
Eritrea,2022,Male,7.01
Estonia,2022,Female,15.38
Estonia,2022,Both sexes,15.94
Estonia,2022,Male,16.54
Eswatini,2022,Male,15.43
Eswatini,2022,Both sexes,19.22
Eswatini,2022,Female,22.62
Ethiopia,2022,Female,12.1
Ethiopia,2022,Male,6.59
Ethiopia,2022,Both sexes,9.43
Fiji,2022,Both sexes,15.53
Fiji,2022,Female,21.8
Fiji,2022,Male,9.02
Finland,2022,Male,11.06
Finland,2022,Female,8.08
Finland,2022,Both sexes,9.58
France,2022,Male,19.85
France,2022,Both sexes,23.18
France,2022,Female,26.31
Gabon,2022,Male,17.13
Gabon,2022,Both sexes,20.82
Gabon,2022,Female,24.61
Gambia,2022,Male,17.01
Gambia,2022,Both sexes,21.15
Gambia,2022,Female,25.08
Georgia,2022,Female,23.77
Georgia,2022,Both sexes,24.02
Georgia,2022,Male,24.17
Germany,2022,Female,11.59
Germany,2022,Both sexes,11.98
Germany,2022,Male,12.36
Ghana,2022,Male,18.17
Ghana,2022,Both sexes,21.16
Ghana,2022,Female,24
Greece,2022,Male,33.06
Greece,2022,Both sexes,35.2
Greece,2022,Female,37.33
Grenada,2022,Male,28.79
Grenada,2022,Both sexes,35.87
Grenada,2022,Female,42.91
Guatemala,2022,Male,28.38
Guatemala,2022,Both sexes,36.83
Guatemala,2022,Female,44.76
Guinea,2022,Male,13.74
Guinea,2022,Both sexes,16.7
Guinea,2022,Female,19.35
Guinea-Bissau,2022,Male,15.16
Guinea-Bissau,2022,Both sexes,17.64
Guinea-Bissau,2022,Female,19.84
Guyana,2022,Male,24.21
Guyana,2022,Both sexes,35.08
Guyana,2022,Female,45.07
Haiti,2022,Male,20.35
Haiti,2022,Both sexes,28.3
Haiti,2022,Female,35.79
Honduras,2022,Male,30.62
Honduras,2022,Both sexes,36.78
Honduras,2022,Female,42.87
Hungary,2022,Male,28.14
Hungary,2022,Both sexes,29.41
Hungary,2022,Female,30.64
Iceland,2022,Male,23.92
Iceland,2022,Both sexes,25.92
Iceland,2022,Female,28.03
India,2022,Male,42.02
India,2022,Both sexes,49.42
India,2022,Female,57.21
Indonesia,2022,Female,16.42
Indonesia,2022,Both sexes,19
Indonesia,2022,Male,21.51
Iran (Islamic Republic of),2022,Male,35.91
Iran (Islamic Republic of),2022,Both sexes,46.28
Iran (Islamic Republic of),2022,Female,56.65
Iraq,2022,Male,41.89
Iraq,2022,Both sexes,52.02
Iraq,2022,Female,61.51
Ireland,2022,Male,19.7
Ireland,2022,Both sexes,21.92
Ireland,2022,Female,24.07
