Country,Period,Sex,Value
Afghanistan,2022,Male,44.07
Afghanistan,2022,Both sexes,48.57
Afghanistan,2022,Female,52.74
Albania,2022,Female,57.69
Albania,2022,Both sexes,62.16
Albania,2022,Male,66.45
Algeria,2022,Male,50.27
Algeria,2022,Both sexes,57.62
Algeria,2022,Female,65.19
American Samoa,2022,Male,89.95
American Samoa,2022,Both sexes,91.41
American Samoa,2022,Female,92.61
Andorra,2022,Female,39.25
Andorra,2022,Both sexes,48.17
Andorra,2022,Male,56.53
Angola,2022,Male,22.34
Angola,2022,Both sexes,31.78
Angola,2022,Female,40.49
Antigua and Barbuda,2022,Male,54.01
Antigua and Barbuda,2022,Both sexes,62.67
Antigua and Barbuda,2022,Female,70.41
Argentina,2022,Female,65.06
Argentina,2022,Both sexes,68.42
Argentina,2022,Male,71.86
Armenia,2022,Male,51.36
Armenia,2022,Both sexes,55.43
Armenia,2022,Female,57.52
Australia,2022,Female,57.71
Australia,2022,Both sexes,63.96
Australia,2022,Male,70.29
Austria,2022,Female,33.38
Austria,2022,Both sexes,44.99
Austria,2022,Male,56.54
Azerbaijan,2022,Male,59.07
Azerbaijan,2022,Both sexes,61.68
Azerbaijan,2022,Female,63.58
Bahamas,2022,Male,69.82
Bahamas,2022,Both sexes,75.79
Bahamas,2022,Female,81.2
Bahrain,2022,Male,66.15
Bahrain,2022,Both sexes,68.69
Bahrain,2022,Female,72.85
Bangladesh,2022,Male,20.29
Bangladesh,2022,Both sexes,27.02
Bangladesh,2022,Female,33.44
Barbados,2022,Male,58.11
Barbados,2022,Both sexes,67.16
Barbados,2022,Female,75.6
Belarus,2022,Female,49.91
Belarus,2022,Both sexes,55.42
Belarus,2022,Male,61.04
Belgium,2022,Female,46.84
Belgium,2022,Both sexes,51.08
Belgium,2022,Male,55.33
Belize,2022,Male,65.67
Belize,2022,Both sexes,72.78
Belize,2022,Female,79.84
Benin,2022,Male,23.62
Benin,2022,Both sexes,30.08
Benin,2022,Female,36.21
Bermuda,2022,Male,54
Bermuda,2022,Both sexes,62.5
Bermuda,2022,Female,70.56
Bhutan,2022,Male,41.01
Bhutan,2022,Both sexes,46.68
Bhutan,2022,Female,53.19
Bolivia (Plurinational State of),2022,Male,61.35
Bolivia (Plurinational State of),2022,Both sexes,65.14
Bolivia (Plurinational State of),2022,Female,68.7
